Package,Version,License,Status,Reason,Repository,Publisher
source-map,0.6.1,BSD-3-Clause,OK,permissive,https://github.com/mozilla/source-map,Nick Fitzgerald
source-map,0.8.0,BSD-3-Clause,OK,permissive,https://github.com/mozilla/source-map,Nick Fitzgerald
stackback,0.0.2,MIT,OK,permissive,https://github.com/shtylman/node-stackback,Roman Shtylman
std-env,4.2.0,MIT,OK,permissive,https://github.com/unjs/std-env,
stream-to-array,2.3.0,MIT,OK,permissive,https://github.com/stream-utils/stream-to-array,Jonathan Ong
string-width,7.2.0,MIT,OK,permissive,https://github.com/sindresorhus/string-width,Sindre Sorhus
string-width,8.3.0,MIT,OK,permissive,https://github.com/sindresorhus/string-width,Sindre Sorhus
string_decoder,1.3.0,MIT,OK,permissive,https://github.com/nodejs/string_decoder,
stringify-object,3.3.0,BSD-2-Clause,OK,permissive,https://github.com/yeoman/stringify-object,Sindre Sorhus
strip-ansi,6.0.1,MIT,OK,permissive,https://github.com/chalk/strip-ansi,Sindre Sorhus
strip-ansi,7.2.0,MIT,OK,permissive,https://github.com/chalk/strip-ansi,Sindre Sorhus
strip-bom,3.0.0,MIT,OK,permissive,https://github.com/sindresorhus/strip-bom,Sindre Sorhus
strip-indent,3.0.0,MIT,OK,permissive,https://github.com/sindresorhus/strip-indent,Sindre Sorhus
strip-json-comments,2.0.1,MIT,OK,permissive,https://github.com/sindresorhus/strip-json-comments,Sindre Sorhus
strip-json-comments,5.0.3,MIT,OK,permissive,https://github.com/sindresorhus/strip-json-comments,Sindre Sorhus
stylus-lookup,6.1.2,MIT,OK,permissive,https://github.com/dependents/node-stylus-lookup,Joel Kemp
supports-color,7.2.0,MIT,OK,permissive,https://github.com/chalk/supports-color,Sindre Sorhus
supports-preserve-symlinks-flag,1.0.0,MIT,OK,permissive,https://github.com/inspect-js/node-supports-preserve-symlinks-flag,Jordan Harband
svelte-check,4.7.6,MIT,OK,permissive,https://github.com/sveltejs/language-tools,The Svelte Community
svelte-eslint-parser,1.8.1,MIT,OK,permissive,https://github.com/sveltejs/svelte-eslint-parser,Yosuke Ota
svelte-multiselect,11.8.0,MIT,OK,permissive,https://github.com/janosh/svelte-multiselect,Janosh Riebesell
svelte-range-slider-pips,4.1.1,MPL-2.0,REVIEW,weak copyleft,https://github.com/simeydotme/svelte-range-slider-pips,Simon Goellner
svelte,5.57.1,MIT,OK,permissive,https://github.com/sveltejs/svelte,
tapable,2.3.3,MIT,OK,permissive,https://github.com/webpack/tapable,Tobias Koppers @sokra
tinybench,6.1.4,MIT,OK,permissive,https://github.com/tinylibs/tinybench,
tinyexec,1.3.0,MIT,OK,permissive,https://github.com/tinylibs/tinyexec,James Garbutt
tinyglobby,0.2.17,MIT,OK,permissive,https://github.com/SuperchupuDev/tinyglobby,Superchupu
tinyrainbow,3.1.1,MIT,OK,permissive,https://github.com/tinylibs/tinyrainbow,
tldts-core,7.4.15,MIT,OK,permissive,https://github.com/remusao/tldts,Rémi Berson
tldts,7.4.15,MIT,OK,permissive,https://github.com/remusao/tldts,Rémi Berson
totalist,3.0.1,MIT,OK,permissive,https://github.com/lukeed/totalist,Luke Edwards
tough-cookie,6.0.2,BSD-3-Clause,OK,permissive,https://github.com/salesforce/tough-cookie,Jeremy Stashewsky
tr46,6.0.0,MIT,OK,permissive,https://github.com/jsdom/tr46,Sebastian Mayr
ts-api-utils,2.5.0,MIT,OK,permissive,https://github.com/JoshuaKGoldberg/ts-api-utils,JoshuaKGoldberg
ts-graphviz,2.1.6,MIT,OK,permissive,https://github.com/ts-graphviz/ts-graphviz,kamiazya
tsconfig-paths,4.2.0,MIT,OK,permissive,https://github.com/dividab/tsconfig-paths,Jonas Kello
type-check,0.4.0,MIT,OK,permissive,https://github.com/gkz/type-check,George Zahariev
typescript-eslint,8.70.1,MIT,OK,permissive,https://github.com/typescript-eslint/typescript-eslint,
typescript,5.9.3,Apache-2.0,OK,permissive,https://github.com/microsoft/TypeScript,Microsoft Corp.
unbash,4.0.11,ISC,OK,permissive,https://github.com/webpro-nl/unbash,Lars Kappert
undici-types,8.9.0,MIT,OK,permissive,https://github.com/nodejs/undici,
undici,8.11.2,MIT,OK,permissive,https://github.com/nodejs/undici,
uri-js,4.4.1,BSD-2-Clause,OK,permissive,https://github.com/garycourt/uri-js,Gary Court
url-polyfill,1.1.14,MIT,OK,permissive,https://github.com/lifaon74/url-polyfill,valentin
util-deprecate,1.0.2,MIT,OK,permissive,https://github.com/TooTallNate/util-deprecate,Nathan Rajlich
vite,8.3.1,MIT,OK,permissive,https://github.com/vitejs/vite,Evan You
vitefu,1.1.3,MIT,OK,permissive,https://github.com/svitejs/vitefu,
vitest,5.0.1,MIT,OK,permissive,https://github.com/vitest-dev/vitest,Anthony Fu
w3c-xmlserializer,6.0.0,MIT,OK,permissive,https://github.com/jsdom/w3c-xmlserializer,
walk-up-path,4.0.0,ISC,OK,permissive,https://github.com/isaacs/walk-up-path,Isaac Z. Schlueter
walkdir,0.4.1,MIT,OK,permissive,https://github.com/soldair/node-walkdir,Ryan Day
wcwidth,1.0.1,MIT,OK,permissive,https://github.com/timoxley/wcwidth,Tim Oxley
webidl-conversions,8.0.1,BSD-2-Clause,OK,permissive,https://github.com/jsdom/webidl-conversions,Domenic Denicola
whatwg-mimetype,5.0.0,MIT,OK,permissive,https://github.com/jsdom/whatwg-mimetype,Domenic Denicola
whatwg-url,16.0.1,MIT,OK,permissive,https://github.com/jsdom/whatwg-url,Sebastian Mayr
whatwg-url,17.1.2,MIT,OK,permissive,https://github.com/jsdom/whatwg-url,Sebastian Mayr
which,2.0.2,ISC,OK,permissive,https://github.com/isaacs/node-which,Isaac Z. Schlueter
why-is-node-running,2.3.0,MIT,OK,permissive,https://github.com/mafintosh/why-is-node-running,Mathias Buus
word-wrap,1.2.5,MIT,OK,permissive,https://github.com/jonschlinkert/word-wrap,Jon Schlinkert
wrap-ansi,9.0.2,MIT,OK,permissive,https://github.com/chalk/wrap-ansi,Sindre Sorhus
wsl-utils,1.0.0,MIT,OK,permissive,https://github.com/sindresorhus/wsl-utils,Sindre Sorhus
xml-name-validator,5.0.0,Apache-2.0,OK,permissive,https://github.com/jsdom/xml-name-validator,Domenic Denicola
xmlchars,2.2.0,MIT,OK,permissive,https://github.com/lddubeau/xmlchars,Louis-Dominique Dubeau
y18n,5.0.8,ISC,OK,permissive,https://github.com/yargs/y18n,Ben Coe
yaml,1.10.3,ISC,OK,permissive,https://github.com/eemeli/yaml,Eemeli Aro
yaml,2.9.1,ISC,OK,permissive,https://github.com/eemeli/yaml,Eemeli Aro
yargs-parser,22.0.0,ISC,OK,permissive,https://github.com/yargs/yargs-parser,Ben Coe
yargs,18.2.0,MIT,OK,permissive,https://github.com/yargs/yargs,
yocto-queue,0.1.0,MIT,OK,permissive,https://github.com/sindresorhus/yocto-queue,Sindre Sorhus
zimmerframe,1.1.5,MIT,OK,permissive,https://github.com/sveltejs/zimmerframe,
zod,4.6.5,MIT,OK,permissive,https://github.com/colinhacks/zod,Colin McDonnell
